Question ID,Contributor aka Name,In Progress / Finished,Avg Result,Question,Class, Answer
1023,,X,9.67,Can you name a partially ordered data structure? What does it mean that data is partially ordered?,COS265,No. I can't.
1026,,X,9.67,You are creating a pipelined processor in which all instructions have 8 steps. Whatis the best speedup you can achieve using pipelining?,COS230,Technology in the future. Because it doesn't exist.
616,,X,9.67,,COS381,Yes
172,,,9.67,How would you decide whether to go with a 2 tier or 3-tier design?,SYS394,
410,,,9.67,"What is a trie (""try"") and what is it used for?",COS320,
1038,,,9.67,What are some operations that might be used to pre-process an image before attempting to . . .,COS351,
1067,AK,X,9.67,ISA/ISD: What is the definition of quality?,SYS390,Conformance to requirements
507,,,9.67,What are the three main clauses in an SQL command and the purpose of each?,COS341,
1317,,,9.67,Explain the format and use of a Kepner-Tregoe decisions analysis (DA).,SYS394,
1336,SRW,X,9.67,How does a linked list work?,COS121,A bunch of nodes that each contain a payload and a pointer to the next node
1340,,,9.67,What does it mean to normalize a database? Why is it important?,N/A,
1358,,,9.67,What makes regular expressions more powerful than text searching?,COS264,
1359,,,9.67,Explain one approach to numerical root solving.,MAT151,
1307,,,9.67,"I just compiled a C file and received the following assembly file. What C file did I start with? .text .globl main .type main&#44; @function main: leal 4(%esp)&#44; %ecx andl $-16&#44; %esp pushl -4(%ecx) pushl %ebp movl %esp&#44; %ebp pushl %ecx subl $16&#44; %esp movl $0&#44; -12(%ebp) movl $0&#44; -8(%ebp) jmp .L2 .L3: movl -8(%ebp)&#44; %eax addl %eax&#44; -12(%ebp) incl -8(%ebp) .L2: cmpl $9&#44; -8(%ebp) jle .L3 movl -12(%ebp)&#44; %eax addl $16&#44; %esp popl %ecx popl %ebp leal -4(%ecx)&#44; %esp ret .size main&#44; .-main .ident ""GCC: (GNU) 4.1.2 (Gentoo 4.1.2)"" .section .note.GNU-stack&#44;""""&#44;@progbits",COS284,
1374,,,9.67,The influencing process begins with A. motivating others through ethical leadership B. motivating others through the proper use of power C. motivating others through the proper use of politics D. setting an objective E. motivating others through creating trust,IAS330,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1516,,,9.67,Why is it important for trees to be balanced?,COS265,
1523,SRW,X,9.67,Can a^n b^n be accepted by a FA?,COS435,Yes
1528,,,9.67,How are the public and private keys in a public/private key system used?,N/A,
1333,,,9.56,What is Test Driven Development (TDD)? Explain why it is an effective technique for creating code with low defect rates.,COS340,
1121,AK,X,9.55,What are the decimal values of 0101 1100? hexidecimal?,COS284,The decimal value is 92 and the hex value is 0x5c
1271,,,9.54,How can branch prediction work?,COS381,
1624,,,9.5,What is a system response table?,SYS394,
1643,,,9.5,Computer Vision,COS351,
,,,,What are some basic approaches to edge detection?,,
811,DKK,X,9.5,Stack vs. Queue,COS121,Data in a Stack is accessed in reverse order that it is inserted (Last In First Out). Data in a Queue is accessed in the same order it is inserted (First In First Out). Both a Stack and a Queue can be represented by an array or linked list. Push refers to inserting data and Pop refers to extracting data from a Stack/Queue
826,,,9.5,types of searching in AI applications,COS280,
,,,,example,,
81,,,9.5,"What is the concept of ""refraction"" in a rule based language like CLIPS?",SYS352,
837,,X,9.5,What are the different datatypes in Perl?,N/A,Did we even study this?
314,,X,9.5,Distinguish between a breadth first and a depth first search? Illustrate on the board.,COS252,Draw a picture of a tree. Literally.
305,,,9.5,What is the degree of a vertex in a graph?,COS252,
233,,,9.5,In Visual Basic&#44; what are Methods? Give a couple of examples.[follow on] What is the syntax of how they are called?,COS240,
859,MCW,X,9.5,AJAX - how does it work?,COS264,AJAX is NOT a language or technology in itself; but uses a combination of HTML&#44; CSS&#44; DOM (accessed with Javascript)&#44; asynchronously exchanging of data from browser to server avoiding page reloads&#44; and returning data formats from server to browser in plain text&#44; JSON&#44; or XHTML to name a few.
864,NJC,X,9.5,Discuss static and dynamic memory allocation.,COS121,Static memory allocation refers to the process of allocating memory at compile-time before the associated program is executed and dynamic memory allocation is where memory is allocated as required at run-time.
512,,,9.5,What is a transaction management system?,COS341,
61,AS,X,9.5,What is an ERP system?,SYS310,Enterprise Resource Planning - integrates internal and external data across an entire company (finance&#44; manufacturing&#44; customer service&#44; sales&#44; etc..)
168,,,9.5,What is the difference between systems analysis and design?Systems analysis (ISA) focuses on logical&#44; implementation-independent aspects of asystem (i.e.&#44; requirements).Systems design (ISD) deals with the physical or implementation-dependent aspects ofa system (i.e.&#44; technical specs).QUESTION:What are some questions that must be answer in the creation of Physical Data FlowDiagrams?,SYS394,
955,,,9.5,What are some scheduling algorithms an OS might use?,N/A,
23,,,9.5,What are the components of an ERD?,SYS200,
1202,,,9.5,What is the principle of least priviledge?,N/A,
1222,,X,9.5,What's the basic process of conducting a Kepner-Tregoe decision analysis?,SYS394,1. Write a concise decision statement 2. Specify objectives and divide into 'Musts' and 'Wants' 3. Evaluate each option against musts 4. Weigh each want from 1-10 5. Evaluate each option against wants 
1304,,,9.5,two types of A2D coversion.,N/A,
1434,AK,X,9.5,what is a recurrence relation?,COS 265,"In mathematics&#44; a recurrence relation is an equation that recursively defines a sequence&#44; once one or more initial terms are given: each further term of the sequence is defined as a function of the preceding terms.The term difference equation sometimes (and for the purposes of this article) refers to a specific type of recurrence relation. However&#44; ""difference equation"" is frequently used to refer to any recurrence relation."
1452,,,9.5,Give an example of ambiguity in Natural Language Processing. How is it dealt with computationally?,N/A,
1589,,,9.5,three lifecycle paradigms,N/A,
1590,MCW,X,9.5,How does virtual memory work?,N/A,"When RAM is insufficient while running applications simultaneously&#44; a computer looks at how much of that memory hasn't been used recently by an application and copies that memory to the hard drive. When switching between applications&#44; the now virtual memory exchanges the memory from the hard disk to the RAM allowing supposed ""unlimited"" RAM."
1605,,,9.5,Describe the purpose and process of Wideband Delphi.,N/A,
1255,,,9.4,Discuss the concept of skeletons&#44; motion constraints&#44; and degrees of freedom when animating creatures.,COS425,
1638,,,9.33,How are key frames used in animation?,COS425,
1552,,,9.33,Compare and contrast the roles of crossover versus mutation in genetic algorithms.,SYS411,
1668,,,9.33,How does a forward chaining expert system work?,N/A,
1672,,,9.33,What is meant by 2's complement representation and why is it used?,N/A,
1677,,,9.33,What is the basic idea of numerical integration?,MAT151,
1694,,,9.33,What are the key concepts behind the Scrum agile development methodology?,SYS394,
1698,,,9.33,What is the purpose and basic form of a KT decision analysis?,SYS394,
1696,,,9.33,Recalling Dale carnegie and How to Win Friends and Influence People&#44; what principles have you learned to win people to your point of view?,IAS330,
1718,AK,X,9.33,Give an overview of the process of communicating securely using a public-key cryptosystem (e.g.&#44; RSA).,MAT215,RSA is an algorithm for public-key cryptography that is based on the presumed difficulty of factoring large integers&#44; the factoring problem. RSA stands for Ron Rivest&#44; Adi Shamir and Leonard Adleman&#44; who first publicly described it in 1977. Clifford Cocks&#44; an English mathematician&#44; had developed an equivalent system in 1973&#44; but it was classified until 1997. A user of RSA creates and then publishes the product of two large prime numbers&#44; along with an auxiliary value&#44; as their public key. The prime factors must be kept secret. Anyone can use the public key to encrypt a message&#44; but with currently published methods&#44; if the public key is large enough&#44; only someone with knowledge of the prime factors can feasibly decode the message. Whether breaking RSA encryption is as hard as factoring is an open question known as the RSA problem.
1722,,,9.33,Why is a TM more powerful than an FSA?,N/A,
1737,,X,9.33,What are CSS selectors?,COS143 / COS264,CSS Selectors are pattern matching rules that determine which elements are styled according to which rule.  (HTML Example - div.info)
87,,,9.33,What is salience and how is it used in CLIPS?,SYS352,
127,,,9.33,Compare systems analysis and systems design.,SYS390,
986,,,9.33,What is the difference between continuous and discrete models? Give an example of each.,N/A,
244,,,9.33,What is an Abstract Data Type and why would one want one?,COS250,
1017,,X,9.33,What is appropriate technology? And why should I care about?,N/A,care about what?
1029,,,9.33,What are some addressing modes on the MIPS architecture?,N/A,
453,,,9.33,What is a protocol? What is it for?,COS331,
617,,,9.33,What is a memory hierarchy and why do memory hierarchies exist?,COS381,
1078,,,9.33,Explain the principle of a divide and conquer algorithms. Give an example.,COS120,
1105,,,9.33,server side components,,
1218,,,9.33,In project scheduling&#44; what is the basic idea of a critical path?,SYS394,
1243,MCW,X,9.33,How do stacks work?,COS121,A stack is an abstract data structure which follows a LIFO (last in first out) method. In programming&#44; however&#44; the stack is a static allocation of memory and stores function parameters. These parameters can be popped out directly by functional call or have the top popped off in LIFO order.
1259,,,9.33,What are cascading style sheets?,COS143/COS,
1289,,,9.33,What is the approximate percentage of large software projects that are canceled outright? That are late&#44; over budget&#44; or feature-poor?,COS340,
1329,,,9.33,What is AJAX? And&#44; why is it so popular?,COS243/264,
1337,,,9.33,Explain the form and use of a Kepner-Tregoe Decision Analysis (DA).,SYS394,
1370,,,9.33,What are b2b apps?,N/A,
1485,,,9.33,What is the process that takes place from when a user enters a URL (e.g.&#44; www.google.com) in the browswer until the web page is displayed?,COS143/COS,
1527,,,9.33,What is a Java Interface? Why is this concept important?,COS265,
1563,,,9.33,Design question - as soon as you started connecting in1 and in2 in the multiplexor&#44; there was a design problem . . .,N/A,
1611,,,9.33,What is database normalization and why is it important?,N/A,
1613,,,9.33,_____ programs are planned special efforts to recruit&#44; hire&#44; and promote women and members of minority groups. ,IAS330,
,,,,,,
,,,,A. Reverse discrimination,,
,,,,B. Affirmative action,,
,,,,C. Privacy,,
,,,,D. Discrimination,,
,,,,E. Americans with disabilities,,
1250,NJC,X,9.26,How does a stack work?,COS121,A stack uses the last in&#44; first out (LIFO) method. This is also known as pop and push. When an object that is placed in the stack is goes to the back or the bottom of the stack which is known as the push. If you remove an object from a stack you remove it from the top of the stack which is known as the pop.
1122,,,9.25,What methods do you use to approach reading a CS research paper?,COS310,
613,,,9.25,Thinking of computer processor architecture&#44; what is pipelining?,COS381,
1420,,,9.2,What is the difference between compiled and interpreted code?,COS382,
352,NJC,X,9.18,What is CSS? What is its main purpose?,COS264,CSS means Cascading Style Sheet. This is the file that hold all the code that makes a webpage look pretty. 
1230,,,9.18,Why do modern architectures have a memory hierarchy?,COS284,
1132,,,9.17,Describe what pipelining is. Why is it used in modern architectures?,COS381,
1180,aac,X,9.17,"Explain the concept of event handlers.  Explain the following code - include objects involved: Button change = new Button(shell&#44; SWT.PUSH); change.setText(""Change Null""); change.addListener(SWT.Selection&#44; new Listener() { public void handleEvent(Event e) { do_something_appropriate(); } });",COS265,Event handlers are pieces of codes that handle events such as click&#44; hover&#44; etc. This code creates a new button that has a push function. change.setText changes the text displayed on the button to Change null. Then&#44; you add an event listener to the button which handles the push event and does something appropriate.
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1153,,,9.17,Describe the capabilities of the VB.NET debugger - how is it typically used and what are its features?,COS240,
1416,,,9.13,What is a KLOC? Why is it a handy measure of project size? In what ways is it deficient?,COS340,
1162,,,9.13,Describe the difference between lossy and lossless compressions&#44; and tell when each might be used.,COS331,
1170,,,9,Describe the relationship of an expert system to a knowledge domain.,SYS352,
1637,,,9,Why separate functionality from presentation from content?,COS143/COS264,
1639,,X,9,Suppose someone asked you to invest in a company that is developing a new set of super performance sorting algorithms that can sort in O(N). Would investing in that company be a good idea?,N/A,Depends on their stock.
1656,,,9,How is edge detection performed?,COS351,
1129,,,9,Explain the idea of software version control.,COS340,
1713,,,9,Discuss the MVC design pattern.,N/A,
1269,,,9,Describe two methods for software requirements elicitation.,COS340,
1721,,,9,What is a finite state transducer? What is one way in which an FST is used in NLP?,N/A,
1753,,,9,What are the main considerations to be mindful of when developing firmware on an 8-bit microprocessor vs. a desktop system.,N/A,
819,,,9,differences between flash and maya,N/A,
251,,,9,Which of the sorting algorithms is easily conceived of as recursive? Why?,COS250,
75,,,9,Give examples of problem domains that could easily be represented in a rule-basedexpert system&#44; and ones that couldn't. Explain why or why not.,SYS352,
475,,,9,What are some of the components of software quality assurance?,COS340,
628,,,9,What does RISC stand for and why does it exist?,COS381,
831,,,9,example of a simulation that would be continous,N/A,
,,,,,,
,,,,example of a simulation that would be discrete,,
832,,,9,describe regular expressions - give an example,N/A,
151,,,9,Compare a black hole&#44; a gray hole and a miracle in the context of a DFD.,SYS390,
847,,,9,Data structure to track depth first search?,N/A,
16,,,9,What is transaction processing?,SYS200,
856,,,9,What is salience?,N/A,
282,SRW,X,9,Contrast deep and shallow copies.,COS250,Deep copy is stored in a separate memory address. Shallow copy just copies the value but is really just a pointer to the original.
866,,,9,Characteristics of OO languages?,N/A,
237,,,9,How are menus created in Visual Basic?,COS240,
878,,,9,virtual memory - why is it important&#44; overview of how it works,N/A,
884,,,9,Balance in search trees,N/A,
887,,,9,Does a wave with spikes contain high frequencies or low frequencies?,N/A,
652,,,9,Give me some memory addressing modes.,COS381,
888,,,9,Compare and contrast the compare and capture modes of a timer.,N/A,
894,,,9,What is an exponential algorithm? Give an example.,N/A,
905,,,9,Explain the operation of a successive approximation A to D converter.,N/A,
,,,,,,
916,,,9,Describe the effects of temperature and defects on the conductivity.,N/A,
919,,,9,"How difficult would it be to modify your project to support arbitrary precision ""floating point""?",N/A,
920,,,9,Draw a square wave and sketch the Fourier space representation of that square wave.,N/A,
241,,,9,What makes up a class or object in object oriented programming? [follow on] Illustrateby giving the definition of a class representing a queue.,COS250,
933,,,9,What are some advantages/disadvantages of Java?,N/A,
281,BN,X,9,Construct a BST using input as follows: 53&#44; 80&#44; 19&#44; 10&#44; 41&#44; 99&#44; 96&#44; 75&#44; 52&#44; 5.,COS250,[I have an answer for this&#44; but it's an image&#44; so I'm not sure what to do with it]
506,,,9,What is SQL and DML?,COS341,
941,,,9,What is the role of feedback in HCI?,N/A,
400,SRW,X,9,What is the difference between a binary tree and an n-ary tree?,COS320,Binary trees have at most 2 leaves per node&#44; n-ary trees have at most n leaves per node.
951,,,9,What is unit testing?,N/A,
980,,,9,What is AJAX? How do web sites change when using AJAX?,N/A,
985,,,9,How does a functional language differ from others (procedural&#44; object-oriented...)?,N/A,
972,AK,X,9,What does the fork() system call do?,COS284,Creates a copy of the running process so there are two parallel processes that are exactly the same
996,,,9,What is AJAX - how is it useful for web applications?,N/A,
997,,,9,How does a stack overflow attack work?,N/A,
1000,,,9,What is a DFD?,N/A,
520,,,9,What is data redundancy and what are the problems associated with it?,COS341,
169,,,9,How is a physical DFD different than logical DFD?,SYS394,
1019,,,9,Why did we study how human memory works?,N/A,
386,SRW,X,9,What is a binary search tree?,COS320,A directed acyclic graph in which each node has at most two branches.
382,,,9,Who was Alan Turing? What did he contribute to computer science?,COS320,
291,SRW,X,9,Contrast the union and intersection of two sets.,COS252,Union: members of either set or both. Intersection: members of both sets only.
1035,,,9,How does one conduct a security audit?,N/A,
458,,,9,What is the Rapid Application Development model (RAD)?,COS340,
1076,,,9,What is a HMM (used in natural language processing.) What is it used for?,N/A,
1084,AS,X,9,What is the DOM?,COS243 / COS264,Document Object Model - cross language platform that for interacting with HTML&#44; XHTML&#44; XML
1086,,,9,What is the difference between a queue and a stack? What type of thing might you use each to do?,N/A,
1088,,,9,Why is accessibility important?,SYS214,
1092,SRW,X,9,Describe how a genetic algorithm works.,SYS411,Start with an initial random population. Give each individual a fitness according to the fitness function. Apply some kind of pooling technique (e.g. binary tournament) to generate the pool of parents. Apply crossover and mutation operators to individuals in the pool to create a new population. Test for convergence. If true&#44; you are done&#44; else check fitness again and cycle through the process again.
1223,,,9,What is the simplex method?,N/A,
1238,,,9,In an unbounded search space&#44; would you prefer breadth-first or depth-first search? Why?,N/A,
1246,,,9,"Express this statement in first-order predicate calculus: ""Alice gives Bill an Apple.""",N/A,
1249,,,9,What is the most important idea in operations research?,N/A,
1261,,,9,How does a SQL stored procedure differ from in-line SQL? When would you use each?,N/A,
1262,NJC,X,9,What is utilitarianism?,COS311,The doctrine that actions are right if they are useful or for the benefit of a majority.
1293,,,9,What are the differences between a dipole and a parabolic antenna?,ENP321,
1300,,,9,define settling time&#44; rise time&#44; and percent overshoot,N/A,
1305,,,9,How is text searching (as done with trie data structure) different than string pattern matching?,COS265,
1339,,,9,In an RDBMS&#44; what is the primary purpose of a database transaction? Give an example.,N/A,
1383,,,9,What is key frame animation? Why is it important?,N/A,
1422,,,9,Difference between DFA and NFA? Power?,N/A,
1429,,,9,Complexity class P&#44; NP&#44; NP complete,N/A,
1430,,,9,"Follow up - NP - ""can't be done in polynomial time"" - I disagree",N/A,
1466,,,9,Describe Kepner-Tregoe decision analysis and give a business example in which it might be used.,N/A,
1480,,,9,Critical path,N/A,
1482,,,9,Name an algorithm and discuss its computational complexity.,N/A,
1487,,,9,What are the various levels of Maslov's hierarchy?,N/A,
1510,,,9,What is a regular expression? Why are they useful?,N/A,
1518,,,9,What is the concept of a divide and conquer algorithm? Give an example.,N/A,
1522,,,9,What could you do to ensure that a web application you are writing is secure?,N/A,
1540,,,9,What are the differences between electric field and magnetic field?,N/A,
1348,,,9,Compute 39 â€“ 89 using 8-bit representations using twoâ€™s complement.,MAT215,
1549,,,9,from ENP332: In a control system&#44; a system has an input x&#44; output y&#44; a forward gain G&#44; and a negative feedback gain H. draw a block diagram ,N/A,
,,,,representing this system&#44; and express the transfer function TF of the ,,
,,,,system y/x as a function of G and H.,,
1566,,,9,How would you test a battery to determine its equiv. ckt? What would be a simple equivalent circuit?,N/A,
1569,,,9,Suppose a system G with input x and output y has a transfer function (gain) that varies from 1000 to 2000. How would you use negative feedback to produce a more accurate gain of say 10 /-1%?,N/A,
1579,,,9,How do machines represent fractional numbers?,N/A,
1168,,,9,Symbolically express following argument: If my client is guilty&#44; then the knife was in the drawer. Either the knife was not in the drawer or Jason Pritchard saw the knife. If the knife was not there on October 10&#44; it follows that Jason Pritchard did not see the knife. Furthermore&#44; if the knife was there on October 10&#44; then the knife was in the drawer and also the hammer was in the barn. But we all know that the hammer was not in the barn. Therefore&#44; ladies and gentlemen of the jury&#44; my client is innocent.,MAT215,
1600,,,9,what do DFAs and NFAs do?,N/A,
1606,AS,X,9,Crosby's Four Absolutes,SYS101,1. The definition of quality is conformance to requirements 2. The system of quality is prevention 3. The standard of quality is zero defects 4. The measure of quality is the price of nonconformance
1315,,,9,Explain how project success depends on intelligent use of a system development methodology.,SYS390,
1610,,,9,Let's say that you wanted to improve performance of a C program. What are the best approaches? What should you try doing first? Would it be worth re-writing any part of the program in assembly language?,N/A,
